species,matrix,active_ingredient,category_type,cause,dose_amount,dose_unit,frequency_per_day,duration_days,reason,mrl_limit,mrl_unit,withdrawal_period_days
sheep,meat,Closantel,antiparasitic,Mycoplasma infection,2.0,tablet,1,3,Poor weight gain,546.8,ug/kg,41
cattle,meat,Albendazole,antiparasitic,Viral infection,49.04,g,1,3,Skin lesions,218.14,ug/kg,36
goat,meat,Ivermectin,antiparasitic,Viral infection,1.0,tablet,1,1,Diarrhea,91.81,ug/kg,46
pig,meat,Ivermectin,antiparasitic,Bacterial infection,47.38,ml,1,2,Skin lesions,106.18,ug/kg,20
goat,meat,Ivermectin,antiparasitic,Bacterial infection,39.65,ml,3,1,Drop in egg production,97.26,ug/kg,39
goat,meat,Ivermectin,antiparasitic,Bacterial infection,31.52,g,3,5,Fever,90.63,ug/kg,45
goat,meat,Ivermectin,antiparasitic,Bacterial infection,49.26,mg,2,1,Fever,101.09,ug/kg,43
sheep,meat,Closantel,antiparasitic,Secondary bacterial infection,2.0,tablet,2,7,Skin lesions,464.49,ug/kg,56
cattle,meat,Ivermectin,antiparasitic,Viral infection,48.56,ml,1,7,Diarrhea,98.61,ug/kg,43
goat,meat,Prednisolone,anti-inflammatory,Protozoal infection,5.0,tablet,1,14,Fever,46.31,ug/kg,9
cattle,meat,Dexamethasone,anti-inflammatory,Mycoplasma infection,471.16,mg,3,1,Fever,45.88,ug/kg,6
goat,meat,Prednisolone,anti-inflammatory,Secondary bacterial infection,6.72,ml,3,1,Drop in egg production,49.52,ug/kg,13
poultry,egg,Dexamethasone,anti-inflammatory,Viral infection,4.19,kg,1,7,Fever,50.05,ug/kg,1
cattle,milk,Dexamethasone,anti-inflammatory,Viral infection,28.15,g,2,2,Wounds,0.0,ug/kg,13
pig,meat,Prednisolone,anti-inflammatory,Viral infection,342.22,mg,3,3,Reduced production,50.6,ug/kg,9
cattle,milk,Prednisolone,anti-inflammatory,Protozoal infection,11.08,ml,2,14,Cough,0.0,ug/kg,4
poultry,egg,Dexamethasone,anti-inflammatory,Bacterial infection,1.0,sachet,2,5,Poor weight gain,45.4,ug/kg,7
sheep,meat,Dexamethasone,anti-inflammatory,Secondary bacterial infection,43.06,g,3,7,Cough,53.89,ug/kg,7
sheep,meat,Dexamethasone,anti-inflammatory,Poor hygiene,11.35,ml,1,1,Fever,49.41,ug/kg,5
goat,meat,Prednisolone,anti-inflammatory,Secondary bacterial infection,2.04,g,1,3,Cough,52.18,ug/kg,1
sheep,meat,Prednisolone,anti-inflammatory,Nutritional deficiency,430.91,mg,1,2,Diarrhea,46.02,ug/kg,14
goat,meat,Dexamethasone,anti-inflammatory,Bacterial infection,10.0,tablet,1,1,Drop in egg production,47.31,ug/kg,3
sheep,meat,Prednisolone,anti-inflammatory,Contaminated feed/water,33.95,ml,2,4,Respiratory distress,53.16,ug/kg,7
poultry,meat,Dexamethasone,anti-inflammatory,Protozoal infection,21.97,g,2,2,Skin lesions,47.07,ug/kg,11
cattle,milk,Prednisolone,anti-inflammatory,Fungal infection,0.61,g,1,7,Lameness,0.0,ug/kg,5
poultry,meat,Dexamethasone,anti-inflammatory,Secondary bacterial infection,6.44,litre,3,2,Cough,50.83,ug/kg,11
poultry,meat,Dexamethasone,anti-inflammatory,Nutritional deficiency,36.68,g,2,14,Wounds,45.09,ug/kg,8
sheep,meat,Prednisolone,anti-inflammatory,Poor hygiene,840.96,mg,2,7,Reduced production,45.29,ug/kg,10
pig,meat,Prednisolone,anti-inflammatory,Secondary bacterial infection,4.02,kg,2,14,Reduced production,52.97,ug/kg,3
pig,meat,Prednisolone,anti-inflammatory,Fungal infection,24.36,g,3,7,Cough,50.56,ug/kg,4
poultry,egg,Dexamethasone,anti-inflammatory,Mycoplasma infection,10.0,sachet,1,1,Respiratory distress,46.45,ug/kg,14
poultry,egg,Dexamethasone,anti-inflammatory,Nutritional deficiency,3.99,litre,1,4,Lameness,52.88,ug/kg,10
cattle,meat,Prednisolone,anti-inflammatory,Protozoal infection,411.59,mg,1,3,Drop in egg production,51.01,ug/kg,3
poultry,egg,Dexamethasone,anti-inflammatory,Bacterial infection,11.5,g,2,1,Diarrhea,49.59,ug/kg,4
sheep,meat,Dexamethasone,anti-inflammatory,Fungal infection,5.0,tablet,1,3,Skin lesions,51.13,ug/kg,13
pig,meat,Prednisolone,anti-inflammatory,Contaminated feed/water,33.67,g,3,1,Wounds,48.71,ug/kg,6
sheep,meat,Dexamethasone,anti-inflammatory,Parasitic infestation,31.83,ml,3,2,Respiratory distress,52.97,ug/kg,12
poultry,meat,Dexamethasone,anti-inflammatory,Contaminated feed/water,0.55,kg,1,4,Wounds,48.86,ug/kg,11
cattle,milk,Dexamethasone,anti-inflammatory,Poor hygiene,28.39,ml,2,4,Poor weight gain,0.0,ug/kg,7
cattle,milk,Dexamethasone,anti-inflammatory,Mycoplasma infection,0.5,tablet,1,1,Cough,0.0,ug/kg,7
goat,meat,Prednisolone,anti-inflammatory,Secondary bacterial infection,41.91,g,2,1,Drop in egg production,48.73,ug/kg,3
pig,meat,Dexamethasone,anti-inflammatory,Nutritional deficiency,0.5,tablet,3,4,Poor weight gain,49.49,ug/kg,5
pig,meat,Dexamethasone,anti-inflammatory,Viral infection,390.73,mg,2,1,Cough,48.36,ug/kg,4
sheep,meat,Dexamethasone,anti-inflammatory,Fungal infection,2.23,g,2,14,Fever,52.07,ug/kg,9
goat,meat,Dexamethasone,anti-inflammatory,Nutritional deficiency,39.91,ml,2,2,Drop in egg production,46.66,ug/kg,14
goat,meat,Dexamethasone,anti-inflammatory,Nutritional deficiency,779.0,mg,1,7,Poor weight gain,54.62,ug/kg,10
cattle,meat,Dexamethasone,anti-inflammatory,Parasitic infestation,1.0,tablet,2,1,Wounds,50.78,ug/kg,7
goat,meat,Dexamethasone,anti-inflammatory,Protozoal infection,939.09,mg,2,10,Lameness,45.03,ug/kg,8
sheep,meat,Dexamethasone,anti-inflammatory,Nutritional deficiency,12.49,g,2,2,Fever,45.08,ug/kg,11
pig,meat,Dexamethasone,anti-inflammatory,Viral infection,1.0,tablet,1,2,Skin lesions,50.27,ug/kg,5
poultry,meat,Dexamethasone,anti-inflammatory,Bacterial infection,5.0,sachet,2,2,Reduced production,47.08,ug/kg,1
pig,meat,Dexamethasone,anti-inflammatory,Contaminated feed/water,955.99,mg,1,14,Reduced production,47.84,ug/kg,12
pig,meat,Prednisolone,anti-inflammatory,Mycoplasma infection,468.58,mg,1,10,Wounds,54.53,ug/kg,3
goat,meat,Dexamethasone,anti-inflammatory,Contaminated feed/water,39.95,ml,2,1,Poor weight gain,52.52,ug/kg,5
goat,meat,Dexamethasone,anti-inflammatory,Mycoplasma infection,1.0,tablet,1,3,Wounds,49.09,ug/kg,5
pig,meat,Dexamethasone,anti-inflammatory,Nutritional deficiency,593.67,mg,3,4,Cough,50.13,ug/kg,4
goat,meat,Prednisolone,anti-inflammatory,Mycoplasma infection,330.87,mg,3,3,Skin lesions,52.39,ug/kg,10
pig,meat,Dexamethasone,anti-inflammatory,Bacterial infection,716.84,mg,3,14,Skin lesions,49.22,ug/kg,14
cattle,milk,Dexamethasone,anti-inflammatory,Secondary bacterial infection,37.77,g,1,14,Skin lesions,0.0,ug/kg,1
cattle,milk,Dexamethasone,anti-inflammatory,Nutritional deficiency,43.89,ml,2,7,Respiratory distress,0.0,ug/kg,11
cattle,milk,Prednisolone,anti-inflammatory,Parasitic infestation,18.69,g,1,14,Wounds,0.0,ug/kg,13
poultry,meat,Dexamethasone,anti-inflammatory,Secondary bacterial infection,5.29,litre,2,7,Cough,52.75,ug/kg,12
cattle,milk,Dexamethasone,anti-inflammatory,Parasitic infestation,6.49,g,2,4,Wounds,0.0,ug/kg,7
poultry,meat,Dexamethasone,anti-inflammatory,Parasitic infestation,32.08,g,2,3,Wounds,53.16,ug/kg,8
pig,meat,Prednisolone,anti-inflammatory,Contaminated feed/water,37.85,g,1,2,Fever,49.52,ug/kg,11
pig,meat,Prednisolone,anti-inflammatory,Secondary bacterial infection,7.44,g,1,4,Diarrhea,48.71,ug/kg,9
poultry,meat,Dexamethasone,anti-inflammatory,Fungal infection,41.38,g,3,4,Skin lesions,53.47,ug/kg,10
cattle,milk,Dexamethasone,anti-inflammatory,Parasitic infestation,34.41,ml,2,2,Skin lesions,0.0,ug/kg,4
goat,meat,Prednisolone,anti-inflammatory,Parasitic infestation,6.81,ml,3,7,Wounds,46.13,ug/kg,14
goat,meat,Dexamethasone,anti-inflammatory,Contaminated feed/water,35.97,g,1,5,Cough,48.91,ug/kg,8
cattle,meat,Dexamethasone,anti-inflammatory,Fungal infection,349.15,mg,2,1,Reduced production,54.97,ug/kg,6
sheep,meat,Dexamethasone,anti-inflammatory,Mycoplasma infection,20.62,g,3,10,Respiratory distress,51.87,ug/kg,12
sheep,meat,Prednisolone,anti-inflammatory,Secondary bacterial infection,10.38,g,1,1,Diarrhea,50.23,ug/kg,8
goat,meat,Dexamethasone,anti-inflammatory,Protozoal infection,37.98,g,1,10,Fever,48.0,ug/kg,1
goat,meat,Dexamethasone,anti-inflammatory,Secondary bacterial infection,16.66,ml,1,1,Skin lesions,48.24,ug/kg,8
pig,meat,Prednisolone,anti-inflammatory,Nutritional deficiency,947.29,mg,2,2,Cough,52.86,ug/kg,5
cattle,meat,Dexamethasone,anti-inflammatory,Fungal infection,10.33,g,1,14,Skin lesions,48.58,ug/kg,12
cattle,meat,Prednisolone,anti-inflammatory,Viral infection,113.25,mg,2,14,Skin lesions,53.54,ug/kg,8
pig,meat,Dexamethasone,anti-inflammatory,Bacterial infection,47.83,g,3,14,Respiratory distress,53.84,ug/kg,13
goat,meat,Prednisolone,anti-inflammatory,Nutritional deficiency,10.0,tablet,1,5,Wounds,51.67,ug/kg,8
pig,meat,Dexamethasone,anti-inflammatory,Poor hygiene,137.84,mg,3,5,Respiratory distress,49.16,ug/kg,6
sheep,meat,Prednisolone,anti-inflammatory,Parasitic infestation,13.14,ml,2,10,Fever,50.08,ug/kg,6
cattle,milk,Dexamethasone,anti-inflammatory,Secondary bacterial infection,23.01,g,1,2,Reduced production,0.0,ug/kg,5
poultry,egg,Dexamethasone,anti-inflammatory,Viral infection,23.53,g,3,3,Respiratory distress,53.57,ug/kg,13
goat,meat,Prednisolone,anti-inflammatory,Secondary bacterial infection,19.05,g,2,2,Skin lesions,49.23,ug/kg,4
cattle,milk,Dexamethasone,anti-inflammatory,Fungal infection,159.64,mg,3,7,Poor weight gain,0.0,ug/kg,6
poultry,egg,Dexamethasone,anti-inflammatory,Fungal infection,4.68,kg,1,7,Wounds,48.86,ug/kg,14
poultry,meat,Dexamethasone,anti-inflammatory,Secondary bacterial infection,3.69,litre,2,2,Skin lesions,50.28,ug/kg,5
pig,meat,Dexamethasone,anti-inflammatory,Parasitic infestation,309.2,mg,1,3,Wounds,50.68,ug/kg,4
poultry,meat,Dexamethasone,anti-inflammatory,Mycoplasma infection,34.05,g,2,10,Diarrhea,45.91,ug/kg,13
poultry,meat,Dexamethasone,anti-inflammatory,Secondary bacterial infection,4.67,kg,3,4,Drop in egg production,47.54,ug/kg,1
pig,meat,Dexamethasone,anti-inflammatory,Protozoal infection,79.63,mg,2,2,Skin lesions,49.14,ug/kg,2
cattle,meat,Dexamethasone,anti-inflammatory,Nutritional deficiency,844.68,mg,1,7,Respiratory distress,52.38,ug/kg,9
pig,meat,Dexamethasone,anti-inflammatory,Mycoplasma infection,39.07,g,3,4,Reduced production,52.21,ug/kg,7
cattle,meat,Dexamethasone,anti-inflammatory,Secondary bacterial infection,32.09,ml,1,10,Wounds,52.17,ug/kg,10
sheep,meat,Prednisolone,anti-inflammatory,Parasitic infestation,33.48,ml,2,7,Lameness,50.71,ug/kg,12
pig,meat,Dexamethasone,anti-inflammatory,Fungal infection,47.34,g,1,1,Reduced production,53.51,ug/kg,10
cattle,meat,Dexamethasone,anti-inflammatory,Nutritional deficiency,22.77,ml,3,10,Reduced production,48.47,ug/kg,7
pig,meat,Prednisolone,anti-inflammatory,Viral infection,14.64,g,2,10,Fever,52.44,ug/kg,8
pig,meat,Prednisolone,anti-inflammatory,Secondary bacterial infection,820.93,mg,3,1,Diarrhea,46.19,ug/kg,14
cattle,meat,Dexamethasone,anti-inflammatory,Contaminated feed/water,18.57,ml,3,10,Skin lesions,46.44,ug/kg,14
pig,meat,Prednisolone,anti-inflammatory,Viral infection,230.25,mg,1,3,Fever,51.6,ug/kg,3
pig,meat,Dexamethasone,anti-inflammatory,Poor hygiene,4.21,g,1,2,Wounds,51.5,ug/kg,14
pig,meat,Prednisolone,anti-inflammatory,Fungal infection,38.7,g,3,4,Skin lesions,49.72,ug/kg,7
poultry,meat,Dexamethasone,anti-inflammatory,Parasitic infestation,1.0,sachet,1,3,Respiratory distress,52.33,ug/kg,13
pig,meat,Prednisolone,anti-inflammatory,Contaminated feed/water,36.17,g,2,14,Diarrhea,54.1,ug/kg,2
poultry,egg,Dexamethasone,anti-inflammatory,Poor hygiene,1.0,sachet,2,7,Reduced production,47.6,ug/kg,1
goat,meat,Dexamethasone,anti-inflammatory,Protozoal infection,1.0,tablet,3,3,Diarrhea,52.99,ug/kg,3
poultry,meat,Dexamethasone,anti-inflammatory,Viral infection,8.47,litre,1,10,Lameness,49.46,ug/kg,4
pig,meat,Prednisolone,anti-inflammatory,Contaminated feed/water,39.71,ml,1,14,Poor weight gain,47.11,ug/kg,12
pig,meat,Dexamethasone,anti-inflammatory,Parasitic infestation,7.71,g,2,14,Lameness,48.86,ug/kg,1
cattle,meat,Prednisolone,anti-inflammatory,Bacterial infection,33.47,g,2,5,Diarrhea,49.91,ug/kg,12
sheep,meat,Dexamethasone,anti-inflammatory,Secondary bacterial infection,9.14,g,3,2,Wounds,45.92,ug/kg,9
sheep,meat,Dexamethasone,anti-inflammatory,Protozoal infection,5.0,tablet,1,3,Poor weight gain,45.06,ug/kg,14
pig,meat,Prednisolone,anti-inflammatory,Poor hygiene,37.0,g,2,2,Fever,53.68,ug/kg,8
pig,meat,Prednisolone,anti-inflammatory,Protozoal infection,5.52,g,2,10,Diarrhea,46.93,ug/kg,6
sheep,meat,Dexamethasone,anti-inflammatory,Mycoplasma infection,39.35,ml,1,3,Lameness,50.76,ug/kg,2
goat,meat,Dexamethasone,anti-inflammatory,Mycoplasma infection,45.12,ml,1,10,Fever,45.22,ug/kg,2
goat,meat,Dexamethasone,anti-inflammatory,Bacterial infection,30.52,g,2,1,Poor weight gain,50.56,ug/kg,12
poultry,meat,Dexamethasone,anti-inflammatory,Mycoplasma infection,4.45,g,2,10,Poor weight gain,51.05,ug/kg,14
goat,meat,Dexamethasone,anti-inflammatory,Nutritional deficiency,45.42,ml,1,5,Reduced production,47.0,ug/kg,5
pig,meat,Prednisolone,anti-inflammatory,Mycoplasma infection,40.63,g,1,5,Fever,54.18,ug/kg,13
sheep,meat,Prednisolone,anti-inflammatory,Parasitic infestation,24.23,g,1,3,Drop in egg production,45.16,ug/kg,13
cattle,milk,Prednisolone,anti-inflammatory,Mycoplasma infection,5.0,tablet,1,5,Lameness,0.0,ug/kg,8
poultry,meat,Dexamethasone,anti-inflammatory,Parasitic infestation,6.73,g,1,5,Skin lesions,46.16,ug/kg,5
poultry,meat,Dexamethasone,anti-inflammatory,Fungal infection,3.29,kg,2,5,Cough,51.7,ug/kg,4
pig,meat,Dexamethasone,anti-inflammatory,Fungal infection,41.73,ml,2,7,Cough,50.35,ug/kg,14
cattle,milk,Prednisolone,anti-inflammatory,Poor hygiene,2.0,tablet,2,2,Cough,0.0,ug/kg,5
poultry,meat,Dexamethasone,anti-inflammatory,Secondary bacterial infection,7.76,g,1,14,Poor weight gain,51.7,ug/kg,1
cattle,milk,Dexamethasone,anti-inflammatory,Parasitic infestation,9.91,ml,3,7,Lameness,0.0,ug/kg,2
goat,meat,Prednisolone,anti-inflammatory,Nutritional deficiency,704.92,mg,2,1,Cough,49.84,ug/kg,9
goat,meat,Dexamethasone,anti-inflammatory,Parasitic infestation,568.6,mg,2,10,Wounds,51.27,ug/kg,4
pig,meat,Dexamethasone,anti-inflammatory,Nutritional deficiency,2.12,kg,2,1,Drop in egg production,49.65,ug/kg,12
sheep,meat,Dexamethasone,anti-inflammatory,Parasitic infestation,15.31,ml,1,5,Reduced production,51.01,ug/kg,3
pig,meat,Dexamethasone,anti-inflammatory,Contaminated feed/water,10.0,tablet,2,14,Reduced production,45.38,ug/kg,13
pig,meat,Dexamethasone,anti-inflammatory,Nutritional deficiency,11.94,g,2,2,Respiratory distress,47.96,ug/kg,4
poultry,meat,Dexamethasone,anti-inflammatory,Contaminated feed/water,1.0,sachet,2,4,Diarrhea,52.66,ug/kg,1
sheep,meat,Dexamethasone,anti-inflammatory,Viral infection,35.19,g,1,3,Fever,53.8,ug/kg,5
poultry,egg,Dexamethasone,anti-inflammatory,Secondary bacterial infection,2.0,sachet,2,10,Fever,48.62,ug/kg,5
pig,meat,Dexamethasone,anti-inflammatory,Fungal infection,2.71,g,2,5,Lameness,46.64,ug/kg,3
sheep,meat,Dexamethasone,anti-inflammatory,Bacterial infection,27.78,ml,2,5,Diarrhea,47.36,ug/kg,8
cattle,meat,Dexamethasone,anti-inflammatory,Fungal infection,44.28,g,2,14,Cough,51.83,ug/kg,13
sheep,meat,Prednisolone,anti-inflammatory,Secondary bacterial infection,0.5,tablet,2,3,Respiratory distress,52.98,ug/kg,11
goat,meat,Dexamethasone,anti-inflammatory,Viral infection,691.39,mg,3,4,Lameness,50.6,ug/kg,2
pig,meat,Dexamethasone,anti-inflammatory,Nutritional deficiency,0.6,kg,1,7,Fever,53.78,ug/kg,6
cattle,meat,Prednisolone,anti-inflammatory,Secondary bacterial infection,662.16,mg,2,14,Respiratory distress,52.29,ug/kg,9
sheep,meat,Dexamethasone,anti-inflammatory,Viral infection,11.73,ml,1,10,Cough,48.32,ug/kg,3
poultry,egg,Dexamethasone,anti-inflammatory,Secondary bacterial infection,10.0,sachet,2,4,Lameness,51.94,ug/kg,13
goat,meat,Prednisolone,anti-inflammatory,Mycoplasma infection,33.22,g,1,3,Poor weight gain,50.36,ug/kg,4
cattle,milk,Dexamethasone,anti-inflammatory,Parasitic infestation,38.48,ml,1,3,Diarrhea,0.0,ug/kg,1
sheep,meat,Prednisolone,anti-inflammatory,Viral infection,34.82,g,2,14,Wounds,46.76,ug/kg,9
goat,meat,Dexamethasone,anti-inflammatory,Protozoal infection,1.0,tablet,1,14,Cough,47.43,ug/kg,5
poultry,egg,Dexamethasone,anti-inflammatory,Bacterial infection,10.0,sachet,1,1,Poor weight gain,52.99,ug/kg,2
sheep,meat,Dexamethasone,anti-inflammatory,Viral infection,40.88,ml,1,2,Skin lesions,45.67,ug/kg,10
cattle,meat,Dexamethasone,anti-inflammatory,Mycoplasma infection,473.53,mg,2,7,Wounds,53.97,ug/kg,7
pig,meat,Prednisolone,anti-inflammatory,Parasitic infestation,12.03,g,3,5,Fever,53.16,ug/kg,12
cattle,milk,Dexamethasone,anti-inflammatory,Fungal infection,37.17,ml,2,10,Diarrhea,0.0,ug/kg,9
poultry,meat,Dexamethasone,anti-inflammatory,Contaminated feed/water,12.38,g,3,3,Diarrhea,52.46,ug/kg,6
cattle,meat,Prednisolone,anti-inflammatory,Mycoplasma infection,18.63,ml,3,4,Fever,50.07,ug/kg,13
poultry,egg,Dexamethasone,anti-inflammatory,Protozoal infection,3.28,litre,1,2,Respiratory distress,49.01,ug/kg,11
pig,meat,Dexamethasone,anti-inflammatory,Secondary bacterial infection,43.55,ml,3,1,Lameness,49.14,ug/kg,5
poultry,egg,Dexamethasone,anti-inflammatory,Nutritional deficiency,0.31,litre,3,7,Lameness,53.09,ug/kg,5
cattle,meat,Dexamethasone,anti-inflammatory,Viral infection,42.23,ml,3,1,Cough,50.44,ug/kg,14
cattle,meat,Dexamethasone,anti-inflammatory,Parasitic infestation,0.5,tablet,1,1,Diarrhea,52.41,ug/kg,5
pig,meat,Prednisolone,anti-inflammatory,Nutritional deficiency,2.16,ml,2,14,Drop in egg production,51.64,ug/kg,10
poultry,meat,Dexamethasone,anti-inflammatory,Poor hygiene,47.6,g,2,1,Fever,48.78,ug/kg,2
sheep,meat,Prednisolone,anti-inflammatory,Mycoplasma infection,2.0,tablet,3,1,Reduced production,52.18,ug/kg,2
pig,meat,Dexamethasone,anti-inflammatory,Nutritional deficiency,7.17,g,2,4,Respiratory distress,52.33,ug/kg,14
poultry,egg,Dexamethasone,anti-inflammatory,Viral infection,15.63,g,1,14,Respiratory distress,46.77,ug/kg,8
sheep,meat,Prednisolone,anti-inflammatory,Nutritional deficiency,1.0,tablet,2,10,Skin lesions,47.78,ug/kg,4
poultry,meat,Dexamethasone,anti-inflammatory,Mycoplasma infection,1.0,sachet,3,14,Skin lesions,45.56,ug/kg,14
goat,meat,Dexamethasone,anti-inflammatory,Nutritional deficiency,547.99,mg,1,7,Cough,46.78,ug/kg,9
sheep,meat,Dexamethasone,anti-inflammatory,Nutritional deficiency,30.84,g,1,14,Diarrhea,47.25,ug/kg,13
poultry,meat,Dexamethasone,anti-inflammatory,Contaminated feed/water,5.0,sachet,1,10,Reduced production,52.66,ug/kg,1
sheep,meat,Prednisolone,anti-inflammatory,Fungal infection,45.02,ml,1,10,Cough,45.41,ug/kg,10
goat,meat,Prednisolone,anti-inflammatory,Nutritional deficiency,10.0,tablet,1,3,Poor weight gain,52.9,ug/kg,2
sheep,meat,Prednisolone,anti-inflammatory,Nutritional deficiency,45.24,ml,1,1,Lameness,49.27,ug/kg,14
goat,meat,Dexamethasone,anti-inflammatory,Secondary bacterial infection,1.0,tablet,3,2,Wounds,52.21,ug/kg,5
poultry,egg,Dexamethasone,anti-inflammatory,Protozoal infection,19.95,g,2,5,Poor weight gain,54.86,ug/kg,4
cattle,meat,Prednisolone,anti-inflammatory,Contaminated feed/water,1.0,tablet,3,7,Skin lesions,53.85,ug/kg,11
cattle,milk,Prednisolone,anti-inflammatory,Secondary bacterial infection,35.53,g,2,4,Poor weight gain,0.0,ug/kg,8
pig,meat,Prednisolone,anti-inflammatory,Bacterial infection,40.3,ml,2,14,Poor weight gain,51.41,ug/kg,12
sheep,meat,Prednisolone,anti-inflammatory,Mycoplasma infection,694.47,mg,2,1,Lameness,52.16,ug/kg,13
sheep,meat,Dexamethasone,anti-inflammatory,Protozoal infection,5.0,tablet,1,4,Reduced production,50.06,ug/kg,1
sheep,meat,Prednisolone,anti-inflammatory,Parasitic infestation,5.0,tablet,2,5,Fever,54.02,ug/kg,7
poultry,meat,Dexamethasone,anti-inflammatory,Protozoal infection,1.66,g,1,14,Skin lesions,53.45,ug/kg,4
cattle,meat,Dexamethasone,anti-inflammatory,Bacterial infection,25.59,ml,3,1,Lameness,47.69,ug/kg,4
sheep,meat,Prednisolone,anti-inflammatory,Poor hygiene,4.14,g,2,7,Wounds,45.58,ug/kg,12
cattle,milk,Prednisolone,anti-inflammatory,Nutritional deficiency,394.0,mg,2,7,Fever,0.0,ug/kg,5
cattle,milk,Prednisolone,anti-inflammatory,Fungal infection,1.0,tablet,2,2,Skin lesions,0.0,ug/kg,12
goat,meat,Prednisolone,anti-inflammatory,Nutritional deficiency,1.0,tablet,1,2,Diarrhea,51.97,ug/kg,6
pig,meat,Prednisolone,anti-inflammatory,Secondary bacterial infection,2.91,kg,1,7,Skin lesions,47.32,ug/kg,3
poultry,egg,Dexamethasone,anti-inflammatory,Bacterial infection,5.0,sachet,2,1,Wounds,53.74,ug/kg,10
goat,meat,Prednisolone,anti-inflammatory,Nutritional deficiency,5.0,tablet,2,14,Diarrhea,51.12,ug/kg,4
goat,meat,Dexamethasone,anti-inflammatory,Protozoal infection,806.37,mg,1,10,Diarrhea,54.86,ug/kg,13
sheep,meat,Dexamethasone,anti-inflammatory,Poor hygiene,28.6,g,3,1,Drop in egg production,54.67,ug/kg,10
poultry,meat,Dexamethasone,anti-inflammatory,Fungal infection,2.28,litre,1,7,Skin lesions,46.86,ug/kg,9
goat,meat,Dexamethasone,anti-inflammatory,Bacterial infection,10.0,tablet,1,14,Fever,47.99,ug/kg,12
poultry,egg,Dexamethasone,anti-inflammatory,Mycoplasma infection,2.62,kg,3,3,Reduced production,51.62,ug/kg,13
goat,meat,Dexamethasone,anti-inflammatory,Bacterial infection,387.6,mg,1,7,Drop in egg production,45.28,ug/kg,10
goat,meat,Dexamethasone,anti-inflammatory,Viral infection,470.76,mg,3,7,Poor weight gain,46.18,ug/kg,11
cattle,milk,Prednisolone,anti-inflammatory,Contaminated feed/water,10.0,tablet,1,1,Drop in egg production,0.0,ug/kg,3
cattle,meat,Prednisolone,anti-inflammatory,Viral infection,586.73,mg,2,14,Reduced production,50.54,ug/kg,5
cattle,meat,Prednisolone,anti-inflammatory,Bacterial infection,979.88,mg,1,1,Drop in egg production,51.21,ug/kg,9
sheep,meat,Prednisolone,anti-inflammatory,Nutritional deficiency,2.0,tablet,3,2,Wounds,54.1,ug/kg,7
poultry,egg,Dexamethasone,anti-inflammatory,Bacterial infection,1.39,kg,1,2,Drop in egg production,45.5,ug/kg,3
goat,meat,Prednisolone,anti-inflammatory,Mycoplasma infection,441.8,mg,2,3,Cough,53.21,ug/kg,7
poultry,meat,Dexamethasone,anti-inflammatory,Protozoal infection,5.0,sachet,2,2,Respiratory distress,50.61,ug/kg,4
poultry,meat,Dexamethasone,anti-inflammatory,Fungal infection,19.69,g,2,5,Lameness,47.71,ug/kg,11
pig,meat,Prednisolone,anti-inflammatory,Bacterial infection,30.83,g,1,1,Drop in egg production,52.77,ug/kg,7
goat,meat,Prednisolone,anti-inflammatory,Parasitic infestation,2.0,tablet,2,1,Wounds,47.36,ug/kg,14
cattle,meat,Dexamethasone,anti-inflammatory,Parasitic infestation,8.06,ml,2,10,Skin lesions,51.92,ug/kg,11
pig,meat,Dexamethasone,anti-inflammatory,Bacterial infection,35.52,ml,1,10,Fever,49.79,ug/kg,1
poultry,meat,Dexamethasone,anti-inflammatory,Contaminated feed/water,5.0,sachet,1,4,Reduced production,48.27,ug/kg,3
cattle,meat,Dexamethasone,anti-inflammatory,Parasitic infestation,122.0,mg,2,1,Poor weight gain,50.93,ug/kg,7
cattle,meat,Prednisolone,anti-inflammatory,Bacterial infection,272.25,mg,1,10,Lameness,45.52,ug/kg,13
goat,meat,Dexamethasone,anti-inflammatory,Mycoplasma infection,9.21,ml,3,1,Wounds,46.3,ug/kg,3
pig,meat,Prednisolone,anti-inflammatory,Poor hygiene,614.42,mg,3,7,Diarrhea,50.08,ug/kg,5
cattle,meat,Prednisolone,anti-inflammatory,Protozoal infection,6.69,ml,1,10,Fever,46.15,ug/kg,12
goat,meat,Dexamethasone,anti-inflammatory,Mycoplasma infection,1.0,tablet,2,4,Reduced production,53.9,ug/kg,13
poultry,meat,Dexamethasone,anti-inflammatory,Poor hygiene,8.88,litre,1,3,Wounds,47.06,ug/kg,1
pig,meat,Prednisolone,anti-inflammatory,Secondary bacterial infection,10.0,tablet,3,14,Respiratory distress,49.95,ug/kg,14
cattle,meat,Prednisolone,anti-inflammatory,Secondary bacterial infection,17.1,ml,1,3,Diarrhea,53.09,ug/kg,14
pig,meat,Prednisolone,anti-inflammatory,Poor hygiene,382.84,mg,1,3,Drop in egg production,54.48,ug/kg,14
cattle,meat,Prednisolone,anti-inflammatory,Fungal infection,46.11,g,3,7,Diarrhea,54.18,ug/kg,14
cattle,milk,Prednisolone,anti-inflammatory,Protozoal infection,18.64,g,2,5,Fever,0.0,ug/kg,8
sheep,meat,Dexamethasone,anti-inflammatory,Secondary bacterial infection,340.15,mg,1,10,Reduced production,45.61,ug/kg,14
poultry,egg,Dexamethasone,anti-inflammatory,Secondary bacterial infection,1.71,kg,1,2,Diarrhea,53.29,ug/kg,9
